Script Name,Category,Sector,Price (in rupees),Market Cap (in crores),Source,ETL Date
Sasvitha Home Finance Limited,Unlisted,Financial Service,25.00,67.223,wwipl,2023-09-09
Tarini Enterprises Limited,Illiquid/unquoted,Retail,198.60,66.988,wwipl,2023-09-09
Anand I Power Limited,Delisted,Auto Ancillaries,20.00,66.673,wwipl,2023-09-09
Vam Holdings Limited,Unlisted,Investment & Holding,"1,800.00",65.646,wwipl,2023-09-09
Placid Limited,Unlisted,NBFC,"1,207.00",64.827,wwipl,2023-09-09
Absolute Sports Private Limited,Unlisted,Media,"3,303.00",62.316,wwipl,2023-09-09
Manipal Housing Finance Syndicate Limited,Unlisted,NBFC,72.50,61.663,wwipl,2023-09-09
Sri Vishnu Shankar Mill Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",405.00,60.750,wwipl,2023-09-09
Gobind Sugar Mills Limited,Unlisted,Other,125.00,55.913,wwipl,2023-09-09
Mewar Polytex Limited,Delisted,"Textiles, Yarn, Cotton & Spinning",171.00,55.233,wwipl,2023-09-09
Assam Carbon Products Limited,Unlisted,Electricity,200.00,55.112,wwipl,2023-09-09
BGSE Properties and Securities Limited,Unlisted,Financial Service,15.00,55.038,wwipl,2023-09-09
Mysore Paints And Varnish Limited,Unlisted,Paint & Varnishes,520.00,53.901,wwipl,2023-09-09
Farmax India Limited,Delisted,FMCG,1.00,53.417,wwipl,2023-09-09
Auckland International Limited,Unlisted,Hotel or Catering,129.00,52.978,wwipl,2023-09-09
Marvel Vinyls Limited,Delisted,Other,124.00,52.758,wwipl,2023-09-09
U P Asbestos Limited,Illiquid/unquoted,Construction,57.00,51.911,wwipl,2023-09-09
Sri Kannapiran Mills Limited,Unlisted,"Textiles, Yarn, Cotton & Spinning",95.00,51.489,wwipl,2023-09-09
Kamarhatty Company Limited,Unlisted,Hotel or Catering,90.00,50.553,wwipl,2023-09-09
Amtek Auto Limited,Suspended,Auto Components,2.00,49.651,wwipl,2023-09-09
Sri Chamundeswari Sugars Limited,Delisted,Sugar,20.00,48.909,wwipl,2023-09-09
Pratibha Industries Limited,Suspended,Engineering,2.00,47.719,wwipl,2023-09-09
Kusum Industrial Gases Limited,Unlisted,"Energy, Oil & Gas",400.00,47.501,wwipl,2023-09-09
The Travancore Rubber and Tea Company,Unlisted,"Tea, Coffee & Plantation","1,150.00",47.150,wwipl,2023-09-09
BT Syndicate Limited,Illiquid/unquoted,Bank,4.55,46.724,wwipl,2023-09-09
SVOGL Oil Gas and Energy Limited,Delisted,"Energy, Oil & Gas",10.00,46.361,wwipl,2023-09-09
Oswal Minerals Limited,Illiquid/unquoted,Mining & Minerals,60.10,45.378,wwipl,2023-09-09
BS Limited,Delisted,Electric Equipment,1.00,44.168,wwipl,2023-09-09
SBI Home Finance Limited,Suspended,NBFC,29.10,43.650,wwipl,2023-09-09
Sterling Biotech Limited,Suspended,Chemical,1.00,43.304,wwipl,2023-09-09
Amol Minechem Limited,Unlisted,Chemical,525.00,43.005,wwipl,2023-09-09
APL Metals Limited,Illiquid/unquoted,Hotel or Catering,40.00,42.906,wwipl,2023-09-09
Sri Chakra Cement Limited,Delisted,Cement,47.10,42.390,wwipl,2023-09-09
Trans Globe Textiles Limited,Illiquid/unquoted,"Textiles, Yarn, Cotton & Spinning",180.00,40.709,wwipl,2023-09-09
Hicks Thermometers India Limited,Unlisted,Healthcare,"1,450.00",39.948,wwipl,2023-09-09
Badra Estates And Industries Limited,Unlisted,"Tea, Coffee & Plantation","1,125.00",39.545,wwipl,2023-09-09
Rydak Syndicate Limited,Unlisted,Agriculture & Agro Products,400.00,38.925,wwipl,2023-09-09
North Eastern Publishing And Advertising Co Ltd,Illiquid/unquoted,Publication,9.30,37.671,wwipl,2023-09-09
Amalgamations Repco Limited,Unlisted,Auto Components,392.00,37.157,wwipl,2023-09-09
MIL Industries Limited,Unlisted,Other,117.00,36.855,wwipl,2023-09-09
Prudential Sugar Corporation Limited,Suspended,Food & Drinks,11.20,36.122,wwipl,2023-09-09
The Scottish Assam India Limited,Unlisted,"Tea, Coffee & Plantation",446.00,35.680,wwipl,2023-09-09
Manikaran Power Limited,Unlisted,Power & Electricity,10.00,35.353,wwipl,2023-09-09
Bihariji Ispat Udyog Limited,Illiquid/unquoted,Financial Service,58.00,34.800,wwipl,2023-09-09
NCL Holdings Limited,Unlisted,Investment & Holding,60.00,34.710,wwipl,2023-09-09
Hemadri Cements Limited,Illiquid/unquoted,Cement,52.00,34.684,wwipl,2023-09-09
AdTech Systems Limited,Illiquid/unquoted,Financial Service,29.10,34.669,wwipl,2023-09-09
Purbanchal Prestressed Limited,Illiquid/unquoted,Financial Service,8.65,34.573,wwipl,2023-09-09
Marble Finvest Limited,Illiquid/unquoted,Financial Service,123.35,34.526,wwipl,2023-09-09
ASEL Financial Services Limited,Unlisted,Financial Service,46.10,34.470,wwipl,2023-09-09
DEYS Medical Stores Manufacturing Limited,Unlisted,Pharma,400.00,34.047,wwipl,2023-09-09
The Calcutta Stock Exchange Limited,Unlisted,Financial Service,550.00,33.619,wwipl,2023-09-09
Uniply Industries Limited,Suspended,Miscellaneous,2.00,33.529,wwipl,2023-09-09
Operational Energy Group India Limited,Illiquid/unquoted,Power & Electricity,25.70,33.517,wwipl,2023-09-09
DSE Estates Limited,Unlisted,Financial Service,11.00,33.438,wwipl,2023-09-09
Essar Ports Limited,Unlisted,Other,10.01,32.620,wwipl,2023-09-09
MIL Industries and Aerospace Limited,Unlisted,AEROSPACE,100.00,31.500,wwipl,2023-09-09
Rajlaxmi Industries Limited,Suspended,"Textiles, Yarn, Cotton & Spinning",1.00,31.000,wwipl,2023-09-09
Bhatkawa Tea Industries Limited,Illiquid/unquoted,Hotel or Catering,136.00,30.464,wwipl,2023-09-09
Fancy Fittings Limited,Illiquid/unquoted,Miscellaneous,93.40,30.430,wwipl,2023-09-09
Bijni Dooars Tea Co Ltd,Illiquid/unquoted,"Tea, Coffee & Plantation",500.00,30.000,wwipl,2023-09-09
